open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1682969400000,28018.38404762,28029.55619048,27957.11071429,27987.51976190,0,1682969699999,0,300,0,0,0
1682969700000,27986.89595238,27990.76785714,27890.79095238,27892.47404762,0,1682969999999,0,300,0,0,0
1682970000000,27892.69071429,27961.52357143,27872.19047619,27950.51452381,0,1682970299999,0,300,0,0,0
1682970300000,27950.40500000,28001.77714286,27881.40857143,27905.09166667,0,1682970599999,0,300,0,0,0
1682970600000,27907.65666667,27951.64357143,27851.60690476,27864.13047619,0,1682970899999,0,300,0,0,0
1682970900000,27862.92095238,27899.37928571,27820.62166667,27839.16761905,0,1682971199999,0,300,0,0,0
1682971200000,27840.95571429,27903.72285714,27813.22428571,27902.88238095,0,1682971499999,0,300,0,0,0
1682971500000,27902.88476190,27954.84785714,27895.80000000,27936.60666667,0,1682971799999,0,300,0,0,0
1682971800000,27936.60904762,27947.61309524,27910.11809524,27910.12523810,0,1682972099999,0,300,0,0,0
1682972100000,27910.11976190,27952.83047619,27859.49761905,27859.49761905,0,1682972399999,0,300,0,0,0
1682972400000,27856.07142857,27872.43904762,27822.59523810,27845.58047619,0,1682972699999,0,300,0,0,0
1682972700000,27845.54000000,27855.21952381,27761.21428571,27839.83142857,0,1682972999999,0,300,0,0,0
1682973000000,27841.77595238,27911.92285714,27836.76666667,27911.84666667,0,1682973299999,0,300,0,0,0
1682973300000,27912.34666667,27930.38380952,27888.72976190,27891.83380952,0,1682973599999,0,300,0,0,0
1682973600000,27891.48166667,27903.65119048,27881.57619048,27902.81857143,0,1682973899999,0,300,0,0,0
1682973900000,27902.81785714,27906.80785714,27798.39761905,27808.72880952,0,1682974199999,0,300,0,0,0
1682974200000,27807.24785714,27809.52476190,27715.60309524,27770.99642857,0,1682974499999,0,300,0,0,0
1682974500000,27772.41547619,27772.83357143,27669.13119048,27682.33333333,0,1682974799999,0,300,0,0,0
1682974800000,27681.35809524,27822.06809524,27675.86023810,27822.06809524,0,1682975099999,0,300,0,0,0
1682975100000,27824.69428571,27829.78976190,27772.98666667,27793.34738095,0,1682975399999,0,300,0,0,0
1682975400000,27793.41404762,27811.99452381,27791.87119048,27804.89785714,0,1682975699999,0,300,0,0,0
1682975700000,27804.89785714,27847.52976190,27800.29880952,27847.50428571,0,1682975999999,0,300,0,0,0
1682976000000,27847.49714286,27887.49307692,27832.79404762,27887.34000000,0,1682976299999,0,300,0,0,0
1682976300000,27888.48717949,27891.59410256,27862.54512821,27885.78051282,0,1682976599999,0,300,0,0,0
1682976600000,27885.78564103,28059.48051282,27884.59128205,28031.54538462,0,1682976899999,0,300,0,0,0
1682976900000,28030.51974359,28048.91512821,27960.42846154,27985.97820513,0,1682977199999,0,300,0,0,0
1682977200000,27985.97384615,28013.32076923,27955.92974359,27985.46179487,0,1682977499999,0,300,0,0,0
1682977500000,27985.45666667,28017.66051282,27957.63820513,28001.09261905,0,1682977799999,0,300,0,0,0
1682977800000,28000.99261905,28000.99261905,27964.33261905,27985.54976190,0,1682978099999,0,300,0,0,0
1682978100000,27985.55476190,28017.53976190,27973.99071429,27986.72952381,0,1682978399999,0,300,0,0,0
